,PageRank,HubScore,AuthorityScore,Betweeness,Colony,Day,Role
Ant394,0.007782989057778069,0.007266689652200972,0.0072666896522330555,0.0034950573352448056,3,17,C
Ant4,0.0036110748303315554,0.0019582605720792753,0.00195826057234878,0.0010952269586458252,3,17,F
Ant7,0.007744645824681361,0.00407059293744419,0.00407059293847761,0.00010846002034837152,3,17,F
Ant6,0.00748667005030744,0.005177031058346548,0.00517703105902569,0.0025686246067880615,3,17,F
Ant1,0.006118720862676531,0.005681527785949204,0.005681527785923626,0.0022533518463116247,3,17,C
Ant0,0.00869463374791053,0.00560600227348197,0.005606002274279532,0.0022822072429055287,3,17,F
Ant2,0.0078779747735705,0.007238243092622273,0.007238243092711867,0.004282079428042587,3,17,C
Ant76,0.00463126536068124,0.0027046021465922973,0.002704602146950991,0.0023605305875915206,3,17,F
Ant137,0.006293776248265361,0.008655230061926922,0.008655230061313877,0.0005097576349716638,3,17,N
Ant74,0.007198636352100976,0.010447982614411318,0.010447982613740804,0.0012625236302634545,3,17,N
Ant72,0.006027166956862469,0.007745827734032982,0.007745827733603038,0.0011933302802993554,3,17,N
Ant71,0.004842703232268884,0.005673896800931925,0.005673896800683776,0.0014967744249271854,3,17,N
Ant70,0.008882107074601004,0.006483306931241728,0.006483306931627699,0.002831147424895194,3,17,F
Ant610,0.007191548168377466,0.011031022908377923,0.01103102290757966,0.0009012254894012701,3,17,N
Ant592,0.006643193642059243,0.005649481193869103,0.005649481194017826,0.0026941735544832456,3,17,C
Ant19,0.0036836141093383734,0.0018889824008616008,0.0018889824012098312,0.0006451725330184657,3,17,F
Ant614,0.00903720911610643,0.00858362749190499,0.008583627491939843,0.00386578959895119,3,17,N
Ant15,0.004522883964316778,0.003860999213053704,0.003860999213046534,0.0014999914854719125,3,17,N
Ant17,0.008806153968154777,0.010828718491594901,0.010828718491205088,0.003159123189903549,3,17,N
Ant13,0.006109519467625311,0.008159379017311128,0.008159379016874677,0.0017483293940073513,3,17,N
Ant12,0.009268004724652456,0.008100297314653455,0.008100297315031132,0.0037574070485902338,3,17,F
Ant97,0.019275346409915073,0.027169936887602695,0.027169936885934852,0.004278469052540764,3,17,N
Ant96,0.007873233229292089,0.01030162300020299,0.010301622999691612,0.0020680128334711677,3,17,N
Ant169,0.0022583390551611407,0.0007028268128173359,0.0007028268130006647,3.229236080798821e-05,3,17,F
Ant298,0.005631287816503759,0.005711636685449961,0.005711636685334224,0.0018316459850836063,3,17,N
Ant299,0.005638419318920954,0.0033134306525371914,0.0033134306529857883,0.0021030081217680075,3,17,F
Ant296,0.005434027516905701,0.0038368027962712476,0.0038368027965420453,0.0028179144403840946,3,17,F
