,Ant,Betweenness,Colony,Day,group_period1,group_period2,group_period3,group_period4
454,Ant356,0.00258227268800611,1,05,F,F,F,F
455,Ant353,0.002573550512234114,1,05,F, , , 
456,Ant540,0.0034151101641666025,1,05,C,C,N,N
457,Ant115,0.0015663894647544975,1,05,C,F,F,F
458,Ant117,0.0036840181126608995,1,05,C,C,F,F
459,Ant113,0.005129181020082289,1,05,C,F, , 
460,Ant195,5.6281993865667525e-05,1,05,F, , , 
461,Ant196,0.004822327156005376,1,05,F, , , 
462,Ant191,0.00479946238826246,1,05,N,N,N,N
463,Ant190,0.002831893082286765,1,05,N,C,C,C
464,Ant198,0.0035685475742237467,1,05,F, , , 
465,Ant217,0.0025529367804834825,1,05,F,F, , 
466,Ant318,0.0010926605516379888,1,05,F, , , 
467,Ant492,0.0037962252001238666,1,05,F,F, , 
468,Ant324,0.0023848917184211885,1,05,F,F, , 
469,Ant552,0.0019490812826306093,1,05,N,N, , 
470,Ant252,8.116951875319242e-05,1,05,F, , , 
471,Ant124,0.010514759223286341,1,05,C, , , 
472,Ant257,0.00523987722009569,1,05,F,F, , 
473,Ant127,0.0018279561529809516,1,05,N,C,F,F
474,Ant26,0.0041258731761272295,1,05,F,F,F,F
475,Ant27,0.004349653856138126,1,05,C,F, , 
476,Ant23,0.005480255936823332,1,05,F,F,F,F
477,Ant29,0.003979219107890266,1,05,N,C,C,C
478,Ant482,0.004892221529336446,1,05,C,N,N,N
479,Ant137,0.0016114550665687446,1,05,N,C, , 
480,Ant400,0.001593434744828599,1,05,C,C,F,F
481,Ant131,0.002271613688760642,1,05,F, , , 
482,Ant255,0.0010099968321921056,1,05,F,F,F,F
483,Ant139,0.001367527212373187,1,05,N,N,N,N
484,Ant560,0.004998593500999918,1,05,F,F,F,F
485,Ant564,0.005280657962170825,1,05,C,C,F,F
486,Ant243,0.003305094389890287,1,05,C,C,F,F
487,Ant242,0.002327610817460264,1,05,N,N,C,C
488,Ant50,0.0018582839486039476,1,05,N,N, , 
489,Ant52,0.0015973461352975387,1,05,N,N, , 
490,Ant55,0.004376258112517004,1,05,C,C,F,F
491,Ant142,0.002923025916497064,1,05,F,F, , 
492,Ant140,0.0029139737495895443,1,05,C, , , 
493,Ant308,0.00330055039966822,1,05,F,F, , 
494,Ant9,5.628199386566754e-05,1,05,F, , , 
495,Ant148,0.001292494259627329,1,05,F,F, , 
