,Colony,Day,Degree Assortativity Coefficient,Average Clustering,Nodes,Edges,Density,Diameter,Betweenness Centrality,Average Degree,Normalized Degree Average
60,2,20,0.06791573392423698,0.7723615680216896,111,3902,0.6391482391482392,3,0.0033240913974858927,70.30630630630631,101.34242350458567
61,2,21,0.15081326509948806,0.790376347366899,111,3843,0.6294840294840295,3,0.0034187648866547964,69.24324324324324,99.81008035062088
62,2,22,0.13160065583913438,0.7734458922440786,90,2507,0.6259675405742822,3,0.0042872545681534435,55.71111111111111,99.04197530864197
63,2,23,0.1093780486306861,0.7838943756765229,90,2605,0.6504369538077404,3,0.003980819430257633,57.888888888888886,102.91358024691358
64,2,24,0.18990934555200462,0.7430070048267559,90,2313,0.5775280898876405,3,0.004863239132902055,51.4,91.37777777777778
65,2,25,0.11624807281876438,0.7590774327979974,90,2336,0.583270911360799,3,0.0048689138576779,51.91111111111111,92.28641975308642
66,2,26,0.10577232141995596,0.7476203290037879,89,2351,0.6003575076608785,3,0.0046963239524262365,52.831460674157306,94.97790682994571
67,2,27,0.23217668828923482,0.7848629456650145,89,2394,0.6113381001021451,3,0.004578915853615583,53.79775280898876,96.71506122964273
68,2,28,0.1452299518661897,0.7402535899405596,88,2195,0.5734064785788924,3,0.005018104055794512,49.88636363636363,90.70247933884296
69,2,29,0.11731013418039174,0.7536029509964586,89,2373,0.6059754851889684,3,0.004631749498080378,53.325842696629216,95.86668349955815
70,2,30,0.09880661050809779,0.7627225405193712,88,2401,0.6272204806687566,3,0.004374134285922576,54.56818181818182,99.21487603305786
71,2,31,0.027864130415155487,0.680356725058593,87,2008,0.5367548783747661,3,0.005471956224350203,46.160919540229884,84.89364513145726
72,2,32,0.01591867288040569,0.7177047118984727,58,1015,0.6140350877192983,3,0.0069570477918935265,35.0,96.55172413793103
73,2,33,0.08770173918676687,0.7809720682473891,58,1086,0.6569872958257713,3,0.006427707199032062,37.44827586206897,103.30558858501783
74,2,34,0.0868902782577929,0.7650060766757873,58,1061,0.6418632788868723,3,0.006524933022210698,36.58620689655172,100.92746730083233
75,2,35,0.09514425749839678,0.7498291201453154,58,991,0.5995160314579552,3,0.0072703309999135775,34.172413793103445,94.26872770511294
76,2,36,0.20533701843751667,0.7809083023415438,58,1015,0.6140350877192983,3,0.007108287961282513,35.0,96.55172413793103
77,2,37,0.08416658438250295,0.7061146648297051,58,928,0.5614035087719298,3,0.008048137585342669,32.0,88.27586206896552
78,2,38,0.16849482379003564,0.7629935362218868,58,963,0.5825771324863884,3,0.007864488808227463,33.206896551724135,91.60523186682519
